title,year,rating,metascore,votes,director,actors,runtime,genre,description
Three Thousand Years of Longing,2022,6.8,60        ,"24,406",George Miller,"['George Miller', 'Tilda Swinton', 'Idris Elba', 'Erdil Yasaroglu', 'Sarah Houbolt']",108 min,"
Drama, Fantasy, Romance            ","[<p class=""text-muted"">
A lonely scholar, on a trip to Istanbul, discovers a Djinn who offers her three wishes in exchange for his freedom.</p>]"
Three Thousand Years of Longing,2022,6.8,60        ,"24,406",George Miller,"['George Miller', 'Tilda Swinton', 'Idris Elba', 'Erdil Yasaroglu', 'Sarah Houbolt']",108 min,"
Drama, Fantasy, Romance            ","[<p class=""text-muted"">
A lonely scholar, on a trip to Istanbul, discovers a Djinn who offers her three wishes in exchange for his freedom.</p>]"
